Title,Describe
აღმოსავლეთის ქარი 2,"
            სკოლაში ცუდი ნიშნების გამო თოთხმეტი წლის მიკას მშობლები ბებიასთან გაუშვებენ სოფელში. ფარდულში იგი აღმოაჩენს ულამაზეს ცხენს , რომელსაც აღმოსავლეთის ქარი ჰქვია. მისი გახედვნა არავის შეუძლია. ერთ ღამეს მიკა მასთან შეიპარება. ისინი შე...
        "
შემთხვევითი ქმარი,"
            ექიმი ემა ლოიდი დაარწმუნებს პატრიკ სალივანის საცოლეს, რომ იგი მიატოვოს მათ ქორწინებამდე ერთი კვირით ადრე. სალივანი გადაწყვიტავს, რომ მას ჭკუა ასწავლოს. მოვლენები იცვლება მაშინ, როდესაც იგი აღმოაჩენს, რომ შეუყვარდა ადამიანი, რომელმ...
        "
სიყვარულის ამბავი,"
            პარიზის აეროპორტში ქალი და მამაკაცი ერთმანეთს გაიცნობენ. უამინდობისა  გამო რეისები გადაიდება, მათ კი მოუწევთ დიდი დროის გატარება ერთმანეთთან. ამის შემდეგ ქალსა და მამაკაცს ერთმანეთის მიმართ გრძნობა უჩნდებათ.
        "
ლღობა,"
            მოვლენები არქტიკაში ვითარდება. მოვლენების ეპიცენტრში მკვლევართა ჯგუფია, რომელთაც პარაზიტი მკვლელი დაესხათ თავს. პარაზიტმა გამოღწევა არქტიკული ყინულების დნობის შედეგად შეძლო.
        "
დეფექტის გარეშე,"
            აღმასრულებელი ხელისუფლების წარმომადგენლისა და ღამის დარაჯის ერთიან განზრახვას ლონდონის საიუველირო მაღაზიის გაძარცვა წარმოადგენს.
        "
ედი მეტსახელად არწივი,"
            ფილმი მოგვითხრობს ტრამპლინისტ ედიზე,რომელსაც მეტსახელად მეტსახელად არწივს ეძახიან. მან სახელი თავისი უიღბლობით გაითქვა. ის ყველა კონკურსში ბოლო ადგილს იკავებდა. 
        "
ტეტრო,"
            თავისუფლების მოსაპოვებლად ანჟელო ტეტრიჩინი  სახლიდან გაიქცევა. ათი წლის შემდეგ ბუენოს-აირესში მას მის მოსაძებნად ჩასული ძმა, ბენინი ხვდება. ანჟელო მწერალი გახდა, ტეტრო კი მისი ფსევდონიმია. ის ავტობიოგრაფიული პიესის გამოქვეყნე...
        "
მაღალი გოგონა,"
            ჯოდი სკოლაში ყველაზე მაღალი გოგონაა. ის ყოველთვის უხერხულად გრძნობდა თავს თავისი სიმაღლის გამო. წლების განმავლობაშ კომპლექსების გამო მოხრილი დადიოდა, დაცინვის საგანიც ხშირად იყო. ამიტომ ყველაფერს აკეთებდა იმისათვის, რომ არ შეემჩნი...
        "
მგლები,"
            აიდენ რიჩარდსი თვრამეტი წლის ახალგაზრდაა,რომელსაც რაიონში ყველაზე მშვენიერ გოგონასთან აქვს ურთიერთობა. ის სტუდენტური საფეხბურთო ნაკრების კაპიტანია. ერთხელ ღამით ის იღვიძებს და ხედავს, რომ მისი მშობლები სასტიკად დახოცეს. აიდენი თვლ...
        "
ბინძური ჰარი,"
            გარი კალახენი პოლიციის ინსპექტორია. ის თავის უფროსობასთან ცუდი რეპუტაციით სარგებლობს დამნაშავეებთან დაუნდობელი მოქცევის გამო. მის ამ ქცევას თავისი ახსნა აქვს. დამნაშავეები ხშირად გაურბიან პასუხისმგებლობას. დანაშაულის ადგილას დაკავ...
        "
ინფორმატორი,"
            შეერთებული შტატების ხელისუფლება გადაწყვეტს, მსხვილი აგრომრეწველობის კორპორაციას დაინტერესებული ფირმებისთვის პროდუქტებზე მაღალი ფასების დაფიქსირებისთვის წაუყენოს ბრალი. ისინი ინფორმატორად ერთ–ერთი კომპანიის ვიცე–პრეზიდენტს, მარკ უი...
        "
კარი სარდაფში,"
            კოულის ოჯახს წარმოდგენა არ ჰქონდა, რომ უწყინარი სურვილი მათ ცხოვრებას გაანადგურებდა საშინელი ავტოკატასტროფის შედეგად ცოლ–ქმარი კარგავს ორ შვილს, მაგრამ თვითონ ცოცხალი რჩებიან.
        "
სანტა და კომპანია,"
            ახალი წლისათვის სანტა მის დამხმარეებთან ერთად მზადებას იწყებს. მოულოდნელად ელფები ავად ხდებიან. წამლისათვის სანტას საფრანგეთში უწევს წასვლა. მან ადამიანებისა და მათი ჩვევების შესახებ არაფერი იცის, ამიტომ მოგზაურობა მისთვის ნამდვილ...
        "
ნეტარება,"
            ფილმი მოგვითხრობს გრეგის თავბრუდამხვევი სიყვარულის ამბის შესახებ, რომელიც ცოტა ხნის წინ განქორწინებისა და სამსახურიდან გათავისუფლების შემდეგ ქუჩაში მცხოვრებ იდუმალ ქალს  შეხვდება. ის დარწმუნებულია, რომ მათ გარშემო დაბინძურებუ...
        "
"მიკი, დონალდი და გუფი: სამი მუშკეტერი","
            მიკი მაუსს, დონალდ დაკსა და გუფის არაფერი სურთ, გარდა იმისა, რომ დედოფალს ემსახურონ და მისი სახელით დედამიწის ზურგზე საგმირო საქმეებით გაითქვან სახელი, მაგრამ მიზნის შესრულებაში მათ ერთ-ერთი მუშკეტერი უშლის ხელს.
        "
